id,display_name,description_text,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url
a-line,a-line,,,,,,,,,,,
above knee,above knee,,,,,,,,,,,
accordion pleats,accordion pleats,"Wide, sharply pressed pleats, arranged in a row, evenly spaced and all turned in the same direction. For narrow pleats of a similar nature, use ""knife pleats.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
acetate,acetate,,,,,,,,,,,
acrylic,acrylic,Synthetic fiber in which the fiber forming substance is composed of at least 85% acrylic resin.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
angled waistline,angled waistline,,,,,,,,,,,
angora,angora,"The long, fine hair from any breed of Angora rabbit. The white French rabbit is favored for its high-quality, soft hair. Angora dyes readily, but is difficult to spin because of its fine texture and it does not felt like common rabbit hair. It is usually mixed with sheep wool or other fibers for weaving.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
ankle length,ankle length,,,,,,,,,,,
applique,applique,"Technique of forming a design by applying cut out pieces of a material to a ground material; generally associated with needleworking, but also used in ceramics, leatherworking, woodworking, and metalworking.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
ascot,ascot,Neckcloths with broad ends usually looped and tied under the chin and sometimes secured by a stickpin.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=ascot&logic=AND&note=&english=N&prev_page=1&subjectid=300210052,http://worksheet.dressdiscover.org/img/full_size/429px-Ascot.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Ascot.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Ascot.jpg
asymmetrical,asymmetrical,,,,,,,,,,,
balloon skirt,balloon skirt,,,,,,,,,,,
